Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
RS,@WithRitesh,2024-02-08T17:59:38.000Z,True,"Wondering what those 3 new pitched positions may be: 

Tata Consumer (You always prefer consumer plays: ITC, Titan, United Spirits)

Reliance Industries (Huge Retail play)Larsen & Tourbo / Tata Chemicals

Hope you disclose it in some time to come!",1,1,9,5.1K,[],[],[],https://pbs.twimg.com/profile_images/1765681325603016704/wehNabxZ_normal.jpg,https://twitter.com/WithRitesh/status/1755652623037067701,tweet_id:1755652623037067701
Film Flash,@Filmflashnews,2024-01-30T15:58:57.000Z,False,"L&T clocks 15% increase in Q3 net profit at Rs 2,947crhttps://filmflash.xyz/2024/01/30/lt-clocks-15-increase-in-q3-net-profit-at-rs-2947cr/…#LarsenTourbo | #LarsenTourboQR | #LarsenTourboNews | ",0,0,0,132,"['#LarsenTourbo', '#LarsenTourboQR', '#LarsenTourboNews']",['@larsentoubro'],[],https://pbs.twimg.com/profile_images/1651424662826483712/UYZQt1zp_normal.png,https://twitter.com/Filmflashnews/status/1752360762184540369,tweet_id:1752360762184540369
RupsinghR,@rupsingh_r,2024-01-30T04:49:11.000Z,False,"Larsen&Tourbo, what is expectation?",2,0,3,638,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://twitter.com/rupsingh_r/status/1752192210739851450,tweet_id:1752192210739851450
Aditya Jadhav,@streetgeniuss,2024-01-21T20:42:21.000Z,False,Large Caps:Larsen and Tourbo Ltd. 3634.50,1,0,1,184,[],[],[],https://pbs.twimg.com/profile_images/1695435501493514240/Os4oNi9O_normal.jpg,https://twitter.com/streetgeniuss/status/1749170591662493931,tweet_id:1749170591662493931
Power star Powerstar,@PowerstarP46631,2024-01-21T12:58:30.000Z,False,Larsen Tourbo is preserving the ancient Nagara style of architecture in the desgin of the Ram janmabhoomi Mandir#LnTEngineeringMarvelRamMandir,0,0,0,71,['#LnTEngineeringMarvelRamMandir'],[],[],https://pbs.twimg.com/profile_images/1731658172312829952/l98QnvsU_normal.jpg,https://twitter.com/PowerstarP46631/status/1749053857647518049,tweet_id:1749053857647518049
Civil Learning,@CivilLearning1,2024-01-20T02:23:47.000Z,True,"Companies and institutions behind the construction of grand structure of Ram MandirLarsen & TourboTata Consulting Engineers Ltd
Central Building Research Institute
National Geophysical Research Institute
IITGuwahati and Madras",0,0,4,501,[],[],[],https://pbs.twimg.com/profile_images/1717105770125492224/EzV_2gxH_normal.jpg,https://twitter.com/CivilLearning1/status/1748531740489208186,tweet_id:1748531740489208186
chirag dave,@chirag_dave11,2024-01-18T14:34:51.000Z,False,Proud of you too…larsen & tourbo. Tx.,0,0,0,111,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://twitter.com/chirag_dave11/status/1747990942081286369,tweet_id:1747990942081286369
Junsupreme,@RyszardJonski,2024-01-17T20:21:58.000Z,True,"India will begin testing the Zorawar light tank in April 2024.
The Indian-developed Zorawar light tank was jointly developed by Larsen & Tourbo and DRDO.
The tests will be carried out in desert and high mountain areas. The Zorawar light tank has a combat weight of approximately…",2,18,94,12K,[],[],[],https://pbs.twimg.com/profile_images/1512460365917048834/laEvyk3K_normal.jpg,https://twitter.com/RyszardJonski/status/1747715908909318213,tweet_id:1747715908909318213
TurDef,@turdefcom,2024-01-11T20:32:16.000Z,True,"India Tests Light Tank Combat Zorawar
India has initiated testing for the Zorawar, a domestically developed light tank collaboratively created by Larsen &amp; Tourbo and DRDO.#India #tank #china #test  ",1,4,8,533,"['#India', '#tank', '#china', '#test']","['@adgpi', '@DefenceMinIndia']",['\\U0001f1ee\\U0001f1f3'],https://pbs.twimg.com/profile_images/1512183374533775361/5ZJ8DyY2_normal.png,https://twitter.com/turdefcom/status/1745544172671541684,tweet_id:1745544172671541684
sujit Kumar,@sujitkumardas01,2024-01-06T04:10:32.000Z,False,Larsen and tourbo,0,0,0,1.6K,[],[],[],https://pbs.twimg.com/profile_images/1580797260199493632/TFTEesd__normal.jpg,https://twitter.com/sujitkumardas01/status/1743485173524824191,tweet_id:1743485173524824191
IANS,@ians_india,2024-01-05T08:40:58.000Z,True,"An alleged financial fraud of Rs 1.32 crore fraud in #Jharkhand's Drinking Water and Sanitation Department has surfaced.

The fraud came to light when Larsen &Tourbo (L&T) complained about not getting payment for work carried out by it for said Department in 2019-20. When…",0,0,0,343,['#Jharkhand'],[],[],https://pbs.twimg.com/profile_images/1767517198778589184/TMdIPx-S_normal.jpg,https://twitter.com/ians_india/status/1743190841488027974,tweet_id:1743190841488027974
S. Lalitha,@Lolita_TNIE,2023-12-30T11:40:28.000Z,True,"#BengalurusuburbanRail Larsen & Tourbo finally handed over Letter of Authorisation to go ahead with const works for Kanaka Line (Heelalige to Rajanakunte) for Rs 1041.51 cr. Deadline ths. It includes 2 crucial alignments, with BMRCL & its corr 1 (in pics) (1/2)",9,35,253,26K,['#BengalurusuburbanRail'],['@NewIndianXpress'],[],https://pbs.twimg.com/profile_images/1565032268418383872/mRc0oai9_normal.jpg,https://twitter.com/Lolita_TNIE/status/1741061688693330132,tweet_id:1741061688693330132
harshitha c,@harshit80022953,2023-12-23T05:08:09.000Z,False,Mine is larsen and tourbo share bought @ 850,1,0,2,80,[],[],[],https://pbs.twimg.com/profile_images/1742817169812103168/dw_vKlg-_normal.jpg,https://twitter.com/harshit80022953/status/1738426242528104813,tweet_id:1738426242528104813
V!J@५,V!J@५,2023-12-13T04:14:30.000Z,False,"     @larsentourbo 
Please take action, 
I don't have words to describe his act, he is similar as ""Aatankwadi"".
All the required details in Video & pics.",0,0,0,46,[],"['@NHAI_Official', '@DC_Gurugram', '@TrafficGGM', '@IGtraffic_hry', '@OfficialGMDA']",[],https://pbs.twimg.com/profile_images/1731599425376792576/klB9dMnZ_normal.jpg,https://twitter.com/vijay4487/status/1734788864953418081,tweet_id:1734788864953418081
Typo Master Sunil Kr.,@Mey_Sunil,2023-12-06T12:20:02.000Z,False,Larsen & Tourbo Infotech व L&T TECH का आईपीओ 2016 मे आया था और बहुत समय तक दोनो IPO डिस्काउंट मे लिस्ट होने के बाद बहुत समय तक डिस्काउंट मे ट्रेड करते रहे है आज लगभग 8 गुणा हो चूके,0,1,0,105,[],[],[],https://pbs.twimg.com/profile_images/1407027491743539208/i65lgVBg_normal.jpg,https://twitter.com/Mey_Sunil/status/1732374336047358173,tweet_id:1732374336047358173
SAGA,@NOMADICTRADER19,2023-12-03T10:09:58.000Z,False,"Why Next L&T??Larsen & Tourbo has been a multibagger and Still a Potential MultibaggerAny dip is a buying opportunity!!
I would rather buy a giant Elephant  rather than small ants  .#nifty50#Investing#stockmarkets #StockMarketindia",1,0,1,269,"['#nifty50', '#Investing', '#stockmarkets', '#StockMarketindia']",[],"['\\U0001f4af', '\\U0001f4af', '\\U0001f4af', '\\U0001f418', '\\U0001f418', '\\U0001f41c', '\\U0001f41c']",https://pbs.twimg.com/profile_images/1691367332696739842/FBCTov53_normal.jpg,https://twitter.com/NOMADICTRADER19/status/1731254439682736159,tweet_id:1731254439682736159
Ishank Garg,@ishank_here,2023-11-28T05:46:16.000Z,False,"LARSEN AND TOURBO LIKE PATTERNSWING STOCK - #ASHOKLEYLAND  

KEEP THIS ON RADAR 
LIKE | RETWEET | FOLLOW   

This is for educational purpose  
Do your own analysis #BREAKOUTSTOCKS #trading #sharemarket #StocksToBuy ",0,0,4,762,"['#ASHOKLEYLAND', '#BREAKOUTSTOCKS', '#trading', '#sharemarket', '#StocksToBuy', '', '', '']",[],"['\\U0001f680', '\\U0001f680', '\\U0001f4f7']",https://pbs.twimg.com/profile_images/1262646487688888320/qOIOb-xO_normal.jpg,https://twitter.com/ishank_here/status/1729376139268010474,tweet_id:1729376139268010474
Stock market news tracker_DS,@deepika63379858,2023-11-20T16:40:00.000Z,False,Larsen & Tourbo says its hydrocarbon business has bagged a mega order from a client in Middle East.,0,1,1,68,[],[],[],https://pbs.twimg.com/profile_images/1657812573155123200/RV01NoA1_normal.jpg,https://twitter.com/deepika63379858/status/1726641555187105899,tweet_id:1726641555187105899
Results&News_Express,@AdviceKp786,2023-11-20T16:00:06.000Z,False,Larsen & Tourbo says its hydrocarbon business has bagged a mega order from a client in Middle East.,0,0,1,53,[],[],[],https://pbs.twimg.com/profile_images/1693121231904448512/fZ_RkCHa_normal.jpg,https://twitter.com/AdviceKp786/status/1726631510827266546,tweet_id:1726631510827266546
NDTV Profit,@NDTVProfitIndia,2023-11-20T07:51:18.000Z,True,"#Larsen & Tourbo says its hydrocarbon business has bagged a mega order from a client in Middle East. 

Read more ",1,0,3,1.5K,['#Larsen'],[],['\\u2b07\\ufe0f'],https://pbs.twimg.com/profile_images/1740352957135122433/0lVQZFAl_normal.jpg,https://twitter.com/NDTVProfitIndia/status/1726508503332733406,tweet_id:1726508503332733406
Index Of India - Tech & Infra,@MagnifyIndia1,2023-11-20T06:41:14.000Z,True, Larsen and Tourbo (L&T) said its hydrocarbon business has bagged a mega order from a client in the Middle East.Order Value - Rs.10000-15000 crores(Not Disclosed Yet)#LT #LarsenandTurbo #MiddleEast #India #infrastructure #Hydrocarbon,0,4,21,2.7K,"['#LT', '#LarsenandTurbo', '#MiddleEast', '#India', '#infrastructure', '#Hydrocarbon']",[],"['\\U0001f6a8', '\\u27a1\\ufe0f', '\\u26a1']",https://pbs.twimg.com/profile_images/1712428683905122304/iB2IO6Gz_normal.jpg,https://twitter.com/MagnifyIndia1/status/1726490868184646078,tweet_id:1726490868184646078
NewsDrum,@thenewsdrum,2023-11-20T05:32:55.000Z,True,L&T bags mega order in Middle East#LarsenTourbo #MiddleEast #Business,0,0,0,47,"['#LarsenTourbo', '#MiddleEast', '#Business']",[],[],https://pbs.twimg.com/profile_images/1496472811061518341/Ww_fjyJp_normal.jpg,https://twitter.com/thenewsdrum/status/1726473675447410935,tweet_id:1726473675447410935
MAHESH KUMAR DAGA,@MAHESHDAGA,2023-11-08T03:05:04.000Z,True,"Reading - #Larsen & Tourbo Limited - Bagged order from  Government of Odisha to execute Cluster XXII & Cluster XXV Mega Lift Irrigation Projects. Also secured an add-on order from the Water Resources Department, Government of Madhya Pradesh to execute Pressurized Piped Lift…",0,0,1,207,['#Larsen'],[],[],https://pbs.twimg.com/profile_images/1621460053030219776/C5FrtS33_normal.jpg,https://twitter.com/MAHESHDAGA/status/1722087816547467431,tweet_id:1722087816547467431
Abhishek Kumar,@Abhishe01520197,2023-11-07T04:34:10.000Z,False,All the best Larsen & Tourbo (L&T),0,0,0,83,[],[],[],https://pbs.twimg.com/profile_images/1469928742860443651/YeM3j14t_normal.png,https://twitter.com/Abhishe01520197/status/1721747851372614104,tweet_id:1721747851372614104
MAHESH KUMAR DAGA,@MAHESHDAGA,2023-11-06T08:58:00.000Z,True,"Reading - #Larsen & Tourbo Limited - Bags Contract to construct the Bhogapuram International Airport, Andhra Pradesh.The project will initially be developed to handle 6 MPA capacity to be further enhanced to a capacity to handle 12 MPA.",0,0,0,162,['#Larsen'],[],[],https://pbs.twimg.com/profile_images/1621460053030219776/C5FrtS33_normal.jpg,https://twitter.com/MAHESHDAGA/status/1721451858403942475,tweet_id:1721451858403942475
Share Bazaar,@sharebazaar01,2023-11-03T10:22:38.000Z,False,"Diwali Stock Picks: Top Stocks in India1.  IT: #TCS, #Infosys, #HCL Tech
2. Financials: #HDFCBank, #ICICIBank , #Kotak Bank
3. Consumer discretionary: Titan, DMart, Bajaj Finance
4. Industrial: #Reliance Industries, Larsen &amp; Tourbo, TataMotors#StockMarketindia #sharebazaar",0,1,2,467,"['#TCS', '#Infosys', '#HCL', '#HDFCBank', '#ICICIBank', '#Kotak', '#Reliance', '#StockMarketindia', '#sharebazaar']",[],"['\\U0001fa94', '\\U0001f447']",https://pbs.twimg.com/profile_images/1702648067571191808/28BcGzJ7_normal.png,https://twitter.com/sharebazaar01/status/1720385991330898039,tweet_id:1720385991330898039
BUY-HOLD-SELL,@BuyHoldSel,2023-11-01T16:48:23.000Z,True,#LT L&T #LARSENTOURBO,0,0,0,49,"['#LT', '#LARSENTOURBO']",[],[],https://pbs.twimg.com/profile_images/1719752211088158720/i9fpuDTh_normal.jpg,https://twitter.com/BuyHoldSel/status/1719758293290369126,tweet_id:1719758293290369126
Motilal Oswal Financial Services Ltd,@MotilalOswalLtd,2023-10-31T05:46:53.000Z,True,"#MorningIndia | Your daily News tracker!   gets ""large"" contract Telecom gear manufacturers about incentives  and its rise in advertising budget Tata Motors and WBIDC dispute 

Swipe for more latest updates #LarsenTourbo #MotilalOswal",0,2,4,1K,"['#MorningIndia', '#LarsenTourbo', '#MotilalOswal']","['@larsentoubro', '@HUL_News']","['\\u2615\\ufe0f', '\\u2705', '\\u2705', '\\u2705', '\\u2705']",https://pbs.twimg.com/profile_images/1611253502063579141/mlFiIG3v_normal.jpg,https://twitter.com/MotilalOswalLtd/status/1719229433012519102,tweet_id:1719229433012519102
Construction World,@CWmagazine,2023-10-12T14:08:51.000Z,False,"Congratulations to Hitachi Construction Machinery, Ashoka Buildcon, Larsen & Tourbo, L&T Construction Equipmentfor achieving distinction in the Most Admired Construction Brands category at the 21st Construction World Global Awards 2023!
.
.
.#CWGA #CWGA2023",0,0,2,248,"['#CWGA', '#CWGA2023']",[],[],https://pbs.twimg.com/profile_images/910028725063884800/dXeMs63G_normal.jpg,https://twitter.com/CWmagazine/status/1712470387966329309,tweet_id:1712470387966329309
MAHESH KUMAR DAGA,@MAHESHDAGA,2023-10-03T07:37:16.000Z,True,Reading - Larsen & Tourbo Limited - Received order from Municipal Corporation of Greater Mumbai (MCGM) for construction of 4.5 Km long bridge connecting Dahisar and Bhayander. The project will significantly reduce the travel time between Dahisar and Bhayander which currently…,0,0,0,102,[],[],[],https://pbs.twimg.com/profile_images/1621460053030219776/C5FrtS33_normal.jpg,https://twitter.com/MAHESHDAGA/status/1709110353114865782,tweet_id:1709110353114865782
Indian Statistics,@Indian_analys,2023-10-01T16:46:41.000Z,False,Top 5 Highest Paid CEOs of India Mukesh Ambani - Reliance Industries Gopal Vittal - Bharti Airtel CP Gurnani - Tech Mahindra SN Subrahmanyam - Larsen and Tourbo Pawan Munjal - Hero MotoCorp,0,0,4,146,[],[],"['\\U0001f1ee\\U0001f1f3', '\\U0001f1ee\\U0001f1f3', '\\U0001f1ee\\U0001f1f3', '\\U0001f1ee\\U0001f1f3', '\\U0001f1ee\\U0001f1f3']",https://pbs.twimg.com/profile_images/1692847504524738560/UKnX5djC_normal.jpg,https://twitter.com/Indian_analys/status/1708523843147661402,tweet_id:1708523843147661402
MAHESH KUMAR DAGA,@MAHESHDAGA,2023-09-29T08:31:45.000Z,True,"Reading - Larsen & Tourbo Limited - secures  Mega order for its Heavy Civil Business from Mumbai Metropolitan Region Development Authority (MMRDA), for the design and construction of an Underground Road tunnel Project between Orange gate, Eastern Free Way to Marine Drive Coastal…",0,0,1,117,[],[],[],https://pbs.twimg.com/profile_images/1621460053030219776/C5FrtS33_normal.jpg,https://twitter.com/MAHESHDAGA/status/1707674512123380086,tweet_id:1707674512123380086
RS,@WithRitesh,2023-09-28T06:32:19.000Z,True,"2020 Covid-

L&T: 800

2022 Sep-

L&T: 3000+Larsen and Tourbo: Building India  

India’s Pride!",0,0,1,445,[],[],['\\U0001f1ee\\U0001f1f3'],https://pbs.twimg.com/profile_images/1765681325603016704/wehNabxZ_normal.jpg,https://twitter.com/WithRitesh/status/1707282069976387816,tweet_id:1707282069976387816
Ravithesungod ( 拉维),@ravishendarkar,2023-09-27T08:26:49.000Z,False,Every one is recommending  Larsen and Tourbo so nifty is going up dont see any other reason for the increase in nifty specially with monthly expiry on thursday,0,0,0,107,[],[],[],https://pbs.twimg.com/profile_images/1702381943395065857/LiVN4n-J_normal.jpg,https://twitter.com/ravishendarkar/status/1706948496539128179,tweet_id:1706948496539128179
Seaul,@Seauls,2023-09-26T06:33:33.000Z,False,#LarsenTourbo - 2928 Res - 2975 SL - 3050 Risky Trade hold for 20 days Buy Oct PE Put Option Target - 2875 / 2850,1,1,1,486,"['#LarsenTourbo', '', '', '']",[],"['\\U0001f449', '\\U0001f449', '\\U0001f449', '\\U0001f449', '\\U0001f449', '\\U0001f449']",https://pbs.twimg.com/profile_images/1079998094543126529/HiWuZyj3_normal.jpg,https://twitter.com/Seauls/status/1706557604661723170,tweet_id:1706557604661723170
Ashish B,@AshishB_1,2023-09-21T05:39:40.000Z,False,larsentourbo shortcovering and some IT stocks seen shortcovering,2,1,0,136,[],[],[],https://pbs.twimg.com/profile_images/1586924776161185793/pXhvgfZ__normal.jpg,https://twitter.com/AshishB_1/status/1704732103844540855,tweet_id:1704732103844540855
Abhishek Singh,@Abhishekifs,2023-09-20T08:27:14.000Z,False,"Received today Mr. AR Soni, Executive Vice President, Corporate Affairs of Larsen & Tourbo and accompanying senior management. They briefed about L&T projects in India and abroad.",0,0,3,221,[],[],[],https://pbs.twimg.com/profile_images/1694043257100189701/TlnT59Gf_normal.jpg,https://twitter.com/Abhishekifs/status/1704411886639546836,tweet_id:1704411886639546836
Catch the Stock,@stevan1971,2023-09-17T18:13:29.000Z,False,"#MarketUpdate  #Larsen & Tourbo  Buyback Alert!  L&T is offering ₹3,200/share, a 10% premium over the current price of ₹2,908.55.  The buyback window opens from September 18th to September 25th.",0,0,0,226,"['#MarketUpdate', '#Larsen']",[],[],https://pbs.twimg.com/profile_images/1697532594110320640/xu26fuYf_normal.jpg,https://twitter.com/stevan1971/status/1703472254883975269,tweet_id:1703472254883975269
MONEY BOOSTER,@MoneyBooster01,2023-09-15T13:04:30.000Z,False,BEST DEFENCE #STOCKS OF OUR INDIAN MARKET -#HAL#LARSEN & TOURBO LTD#BEML LTD#PARAS DEFENCE & SPACE#BHARATFORGE LTD#COCHIN SHIPYARD LTD#MAZAGON  DOCK#BEL,7,5,18,2.8K,"['#STOCKS', '#HAL', '#LARSEN', '#BEML', '#PARAS', '#BHARATFORGE', '#COCHIN', '#MAZAGON', '#BEL', '', '', '', '', '', '']",[],[],https://pbs.twimg.com/profile_images/1444664887825760256/WXrnowu0_normal.jpg,https://twitter.com/MoneyBooster01/status/1702669720242233850,tweet_id:1702669720242233850
FinAspiration,@FinAspiration,2023-09-13T11:48:24.000Z,True,"  LARSEN AND TOURBO :-  MARKET CAP :- ₹ 4,07,841 Cr. CMP :-  ₹ 2,908 PE :- 36.4 ROCE :- 12.4 % ROE :- 11.7 %Debt to Equity :- 1.35OPM :- 14.2 %",2,13,69,9.9K,[],[],"['\\U0001f6e3', '\\u26a1', '\\u26a1', '\\u26a1', '\\u26a1', '\\u26a1', '\\u26a1', '\\u26a1', '\\U0001f6e3', '\\u26a1', '\\u26a1', '\\u26a1', '\\u26a1']",https://pbs.twimg.com/profile_images/1709611917415780352/2hJfpdjn_normal.jpg,https://twitter.com/FinAspiration/status/1701925794191417633,tweet_id:1701925794191417633
Somesh Malik,@Somesh83maliq,2023-09-10T17:36:57.000Z,False,"After G20
Main share thatay run
Praj indLarsen & tourboReliance
Kpit",0,1,3,341,[],[],[],https://pbs.twimg.com/profile_images/1766692646091907072/gK97upsr_normal.jpg,https://twitter.com/Somesh83maliq/status/1700926345981898780,tweet_id:1700926345981898780
BJP Sashi Kumar Subramony (Modi Ka Pariwar),@ActorSashi,2023-09-08T09:38:04.000Z,False,"Larsen & Tourbo wins HUGE ORDER of 2 Packages from Saudi Aramco 

Total Order win is $3.9 bn i.e. Rs 32,000 crores!! 

Package 1– gas processing plant and main process units–$2.9bn: L&T Energy Hydrocarbon (India)

Package 3 – gas compression units – $1bn: L&T Energy Hydrocarbon.",1,3,4,397,[],[],[],https://pbs.twimg.com/profile_images/1700137245938991104/Aw7SnBx-_normal.jpg,https://twitter.com/ActorSashi/status/1700081054613430677,tweet_id:1700081054613430677
NTV Telugu,@NtvTeluguLive,2023-09-08T03:43:03.000Z,True,చంద్రయాన్ 3 గ్రాండ్ సక్సెస్.. సౌదీ అరేబియా నుండి రూ. 33 వేల కోట్ల ఆర్డర్‌#Chandrayaan3 #LarsenTourbo #SaudiAramco #NTVTelugu,0,0,1,556,"['#Chandrayaan3', '#LarsenTourbo', '#SaudiAramco', '#NTVTelugu']",[],[],https://pbs.twimg.com/profile_images/902853206094385153/zGWCBDgH_normal.jpg,https://twitter.com/NtvTeluguLive/status/1699991712880570429,tweet_id:1699991712880570429
Stock market news tracker_DS,@deepika63379858,2023-09-07T15:09:33.000Z,False,"Larsen & Tourbo wins HUGE ORDER of 2 Package from Saudi Aramco 

Total Order win is $3.9 bn i.e. Rs 32,000 crores!! 

Package 1 – gas processing plant and main process units – $2.9bn: L&T Energy Hydrocarbon (India)

Package 3 – gas compression units – $1bn: L&T Energy Hydrocarbon",0,0,1,131,[],[],[],https://pbs.twimg.com/profile_images/1657812573155123200/RV01NoA1_normal.jpg,https://twitter.com/deepika63379858/status/1699802089751531934,tweet_id:1699802089751531934
Deepak PadhiyarBJP (मोदी का परिवार),@DeepPadhiyarBJP,2023-09-07T11:15:42.000Z,True,"Larsen & Tourbo wins HUGE ORDER of 2 Packages from Saudi Aramco 

Total Order win is $3.9 bn i.e. Rs 32,000 crores!! 

Package 1 – gas processing plant and main process units – $2.9bn: L&T Energy Hydrocarbon (India)

Package 3 – gas compression units – $1bn: L&T Energy…",0,0,1,108,[],[],[],https://pbs.twimg.com/profile_images/1700229336727695361/U107zPfA_normal.jpg,https://twitter.com/DeepPadhiyarBJP/status/1699743240738799931,tweet_id:1699743240738799931
Tridib Bordoloi (Modi Ka Parivar),@tridib_bordoloi,2023-09-07T11:04:30.000Z,False,"Larsen & Tourbo wins HUGE ORDER of 2 Packages from Saudi Aramco 
Total Order win is $3.9 bn i.e. Rs 32,000 crores!! 
Package 1 – gas processing plant and main process units – $2.9bn: L&T Energy Hydrocarbon (India)
Package 3 – gas compression units – $1bn: L&T Energy Hydrocarbon",0,0,0,138,[],[],[],https://pbs.twimg.com/profile_images/1748686799151763456/9gtvUo4Z_normal.jpg,https://twitter.com/tridib_bordoloi/status/1699740419775709609,tweet_id:1699740419775709609
Akshit katyal,@AkshitKatyal2,2023-09-07T07:49:05.000Z,False,"Larsen & Tourbo wins HUGE ORDER of 2 Packages from Saudi Aramco 

Total Order win is $3.9 bn i.e. 32,000 crores!! 

Package 1 – gas processing plant and main process units – $2.9bn: L&T Energy Hydrocarbon (India)

Package 3 – gas compression units – $1bn: L&T Energy Hydrocarbon",0,0,0,128,[],[],[],https://pbs.twimg.com/profile_images/1665284958691430407/6ETA_e7h_normal.jpg,https://twitter.com/AkshitKatyal2/status/1699691243922723233,tweet_id:1699691243922723233
Sahil Pahwa,@Sahilpahwa09,2023-09-07T05:40:28.000Z,True,"Reaching to its target!!!!
2200 - - >> 2787#LarsenTourbo #LT",2,0,9,3.1K,"['#LarsenTourbo', '#LT']",[],[],https://pbs.twimg.com/profile_images/1517375235611267072/oX2zTeal_normal.jpg,https://twitter.com/Sahilpahwa09/status/1699658874624586079,tweet_id:1699658874624586079
